n,r,t
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.006069802731411229},"{concept:accountable,text:accountable}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.006069802731411229},"{concept:effective,text:effective}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.006069802731411229},"{concept:birth,text:birth}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.006069802731411229},"{concept:develop,text:develop}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.006069802731411229},"{concept:reduce,text:reduce}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.006069802731411229},"{concept:ensure,text:ensure}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.006069802731411229},"{concept:crime,text:crime}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.004552352048558422},"{concept:life,text:life}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.004552352048558422},"{concept:government,text:government}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.004552352048558422},"{concept:protection,text:protection}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.004552352048558422},"{concept:address,text:address}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.004552352048558422},"{concept:homicide,text:homicide}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.004552352048558422},"{concept:physique,text:build}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.004552352048558422},"{concept:subsaharan,text:subsaharan}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.004552352048558422},"{concept:registration,text:registration}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.004552352048558422},"{concept:worldwide,text:worldwide}"
